Intent,Question Pattern,Response
role_of_CWC,What is the role of the Child Welfare Committee (CWC)?,"CWC ensures protection, rehabilitation, and legal support for abused and abandoned children."
effect_of_abuse_on_children,What are the long-term effects of child abuse?,"Abuse can cause PTSD, depression, anxiety, and difficulty in social relationships."
child_foster_care,Can an abused child be placed in foster care?,"Yes, courts can place abused children in foster care for their protection."
child_abuse_during_pandemic,Did child abuse increase during the pandemic?,"Yes, reports show a rise in child abuse cases due to lockdowns and restricted movement."
financial_assistance_abuse_victims,Is there financial support for abused children?,"Yes, some government schemes provide financial aid for child abuse victims."
child_abuse_statistics,What are the statistics on child abuse in India?,"According to NCRB, child abuse cases have been rising, highlighting the need for strict action."
abuse_in_child_care_homes,What if a child is abused in a care home?,Such cases must be reported to child welfare authorities for investigation and action.
report_domestic_violence,How can I report domestic violence?,"You can report domestic violence by calling the police helpline, visiting the nearest police station, or filing a complaint online."
domestic_violence_helpline,What is the helpline number for domestic violence?,You can call the National Domestic Violence Helpline at 181 or contact the local police at 100.
legal_protection_domestic,What legal protection is available for domestic violence victims?,"Victims of domestic violence can seek protection under the Protection of Women from Domestic Violence Act, 2005."
file_fir_domestic,Can I file an FIR for domestic violence?,"Yes, you can file an FIR at the nearest police station under Section 498A of IPC and the Domestic Violence Act."
domestic_violence_evidence,What evidence is needed to report domestic violence?,"You can provide medical reports, photographs, witness statements, call recordings, or messages as evidence."
restraining_order,How can I get a restraining order against my abuser?,"You can approach the court and file for a Protection Order under the Domestic Violence Act, 2005."
shelter_for_victims,Where can domestic violence victims find shelter?,Victims can seek shelter at government or NGO-run women's shelters and crisis centers.
report_harassment,How can I report harassment?,"You can report harassment by calling the police helpline, visiting a police station, or filing a complaint online."
harassment_helpline,What is the helpline number for harassment?,You can call the Women’s Helpline at 1091 or the Police Helpline at 100 to report harassment.
legal_protection_harassment,What legal protection is available for harassment victims?,"Victims can seek protection under IPC sections 354, 506, and 509 for different types of harassment."
file_fir_harassment,Can I file an FIR for harassment?,"Yes, you can file an FIR at the nearest police station under the relevant IPC sections."
harassment_evidence,What evidence is needed to report harassment?,"You can provide messages, call recordings, CCTV footage, medical reports, and witness statements."
sexual_harassment_workplace,How to report sexual harassment at the workplace?,You can report it to the Internal Complaints Committee (ICC) at your workplace or approach the police.
stalking_laws,Is stalking considered harassment?,"Yes, stalking is an offense under IPC Section 354D and is punishable by law."
cyber_harassment,What is cyber harassment?,"Cyber harassment includes threats, bullying, or obscene messages sent via digital platforms."
cyberbullying_reporting,How can I report cyberbullying?,You can report cyberbullying to the Cyber Crime Cell or through the National Cyber Crime Portal.
verbal_harassment,Is verbal abuse considered harassment?,"Yes, verbal threats, insults, and obscene remarks are considered harassment under IPC 294 and 506."
harassment_at_public_places,What should I do if I am harassed in a public place?,You should immediately seek help from nearby authorities or call the police helpline.
anonymous_harassment_reporting,Can I report harassment anonymously?,"Yes, you can report anonymously through helplines or online complaint portals."
sexual_harassment_laws,What laws protect against sexual harassment?,"Laws such as the Sexual Harassment of Women at Workplace Act, 2013, and IPC sections 354, 509 provide protection."
domestic_harassment,What legal actions can be taken for harassment at home?,Domestic harassment falls under the Domestic Violence Act and IPC Section 498A.
blackmailing_as_harassment,Is blackmailing considered harassment?,"Yes, blackmailing is punishable under IPC Section 503 for criminal intimidation."
workplace_harassment_protection,How can employees protect themselves from workplace harassment?,"Employees can document incidents, report to HR or ICC, and seek legal protection."
online_harassment_safety,How can I stay safe from online harassment?,"Use privacy settings, block harassers, avoid sharing personal details, and report abuse."
public_awareness_harassment,Are there awareness programs on harassment?,"Yes, government and NGOs conduct awareness programs to educate people about harassment laws."
spreading_false_rumors,Is spreading false rumors about someone considered harassment?,"Yes, defamation and spreading false information can be legally challenged under IPC Section 499."
whatsapp_harassment,Can harassment via WhatsApp be reported?,"Yes, you can report offensive messages to WhatsApp and file a complaint with the Cyber Crime Cell."
social_media_harassment,How to report harassment on social media?,"You can report abusive content on platforms like Facebook, Instagram, or Twitter and file a police complaint."
revenge_porn,Is revenge porn considered harassment?,"Yes, sharing intimate content without consent is a criminal offense under IPC Section 67A and IT Act."
neighbor_harassment,What can I do if my neighbor is harassing me?,You can report the issue to the local police or file a complaint with the magistrate.
harassment_by_colleague,How to handle harassment by a colleague?,"You should document incidents, report to HR, or escalate the issue to legal authorities."
false_harassment_claims,What if someone falsely accuses me of harassment?,You can file a counter-complaint for defamation and provide evidence to prove your innocence.
gender_neutral_harassment_laws,Are harassment laws gender-neutral?,"Some harassment laws apply to all genders, while others specifically protect women."
protection_for_victims,What protection is available for harassment victims?,"Victims can seek police protection, restraining orders, and legal aid."
road_rage_harassment,Is road rage a form of harassment?,"Yes, aggressive driving, verbal threats, and intimidation on the road can be reported as harassment."
student_harassment,How to report harassment in schools or colleges?,Students can report to the institution’s grievance cell or approach the police.
harassment_against_men,Can men file harassment complaints?,"Yes, men can file complaints under general IPC sections like 506, 509, and 503."
bullying_vs_harassment,What is the difference between bullying and harassment?,"Bullying is persistent intimidation, while harassment involves legal implications and criminal charges."
phone_call_harassment,How can I stop harassing phone calls?,Block the number and report it to the police or the telecom service provider.
elder_harassment,What legal actions can be taken for harassment of elderly people?,Elderly abuse or harassment can be reported under the Maintenance and Welfare of Parents and Senior Citizens Act.
landlord_harassment,What can I do if my landlord is harassing me?,You can file a police complaint or approach the Rent Control Board for legal action.
harassment_due_to_race,Can racial harassment be reported?,"Yes, racial harassment is a punishable offense under discrimination and hate speech laws."
report_stolen_vehicle,How can I report a stolen vehicle?,You can report a stolen vehicle by filing an FIR at the nearest police station or online.
stolen_vehicle_helpline,What is the helpline number to report a stolen vehicle?,You can call 100 (police helpline) to report a stolen vehicle immediately.
file_fir_stolen_vehicle,Can I file an FIR online for a stolen vehicle?,"Yes, many state police websites allow online FIR registration for stolen vehicles."
documents_needed_fir,What documents are needed to file an FIR for a stolen vehicle?,"You need the RC, insurance copy, driving license, and a written complaint."
insurance_claim_stolen_vehicle,How to claim insurance for a stolen vehicle?,"File an FIR, inform your insurance company, and submit the required documents."
tracking_stolen_vehicle,Can the police track my stolen vehicle?,"Yes, police use CCTV footage, GPS tracking (if installed), and vehicle registration databases."
chances_recovering_vehicle,What are the chances of recovering a stolen vehicle?,"Recovery depends on timely reporting, police efforts, and available evidence."
police_action_stolen_vehicle,What actions do the police take for a stolen vehicle?,"The police issue an alert, check CCTV footage, and investigate based on available leads."
stolen_vehicle_noc,What is an NOC for a stolen vehicle?,"A No Objection Certificate (NOC) is issued if the vehicle is not recovered, required for insurance claims."
found_stolen_vehicle,What should I do if I find my stolen vehicle?,Inform the police immediately and follow legal procedures before reclaiming it.
temporary_vehicle_permit,Can I get a temporary vehicle permit if my car is stolen?,"Yes, you can apply for a temporary permit from the RTO while your case is investigated."
stolen_vehicle_rto_notification,Should I inform the RTO about my stolen vehicle?,"Yes, notifying the RTO helps prevent misuse of the vehicle’s registration details."
legal_penalty_using_stolen_vehicle,What is the penalty for using a stolen vehicle?,Knowingly using a stolen vehicle is a criminal offense under IPC Sections 411 and 414.
recover_stolen_vehicle_outside_city,What if my stolen vehicle is found in another city?,Police coordinate with the respective jurisdiction to recover the vehicle.
online_portal_stolen_vehicle,Is there an online portal to check stolen vehicles?,"Yes, the NCRB website allows users to check stolen vehicle records."
stolen_vehicle_punishment,What is the punishment for vehicle theft?,"Under IPC Section 379, vehicle theft can lead to imprisonment of up to 3 years."
stolen_bike_report,How do I report a stolen bike?,"You can report it at the police station, online, or via the crime helpline."
gps_tracking_stolen_vehicle,Can a vehicle be recovered using GPS tracking?,"Yes, if your vehicle has a GPS tracker, share the details with the police for quicker recovery."
rc_blacklist_stolen_vehicle,Will my stolen vehicle’s RC be blacklisted?,"Yes, once reported, the RC is flagged to prevent illegal transfers."
check_stolen_vehicle_database,How can I check if a vehicle is stolen?,Use the NCRB database or contact the local RTO to verify vehicle theft records.
selling_stolen_vehicle,What if someone sells a stolen vehicle?,Selling a stolen vehicle is illegal and punishable under IPC 411.
vehicle_theft_insurance_time,How long does insurance take to settle a stolen vehicle claim?,"Insurance claims may take 30-90 days, depending on investigation results."
how_to_avoid_vehicle_theft,How can I prevent my vehicle from being stolen?,"Use anti-theft devices, park in secure areas, and avoid leaving valuables inside."
engine_chassis_number_check,How to check if an engine or chassis number is fake?,Verify with the RTO or police records to ensure authenticity.
duplicate_rc_stolen_vehicle,Can I get a duplicate RC if my vehicle is stolen?,"Yes, after reporting the theft, apply for a duplicate RC at the RTO."
loan_vehicle_stolen,What if a stolen vehicle was under a loan?,"Notify your lender immediately, as insurance and legal steps may be required."
rto_blacklist_vehicle,How does the RTO blacklist a stolen vehicle?,"The RTO marks the vehicle as stolen, preventing registration changes or resale."
tracking_resold_stolen_vehicle,What if my stolen vehicle is resold?,"The police can trace it via RC details, chassis number, or online resale platforms."
stolen_vehicle_in_different_state,What if my stolen vehicle is found in another state?,Police will coordinate with the respective state authorities for retrieval.
police_recovered_vehicle_notification,How will I know if my stolen vehicle is recovered?,"The police will contact you once your vehicle is found, or you can check online databases."
second_hand_vehicle_check,How to check if a second-hand vehicle is stolen?,"Verify ownership documents, check NCRB records, and match the chassis number with the RC."
accidental_stolen_vehicle,What if a stolen vehicle is involved in an accident?,The owner must cooperate with police investigations and legal procedures.
fake_vehicle_number_plate,Can a stolen vehicle have fake number plates?,"Yes, thieves often use fake plates, making police verification crucial."
cctv_stolen_vehicle,Can CCTV footage help in tracking a stolen vehicle?,"Yes, police use CCTV footage to trace vehicle movements after theft."
reward_recovery_stolen_vehicle,Is there a reward for recovering a stolen vehicle?,Some insurance companies or local authorities may offer rewards.
stolen_vehicle_investigation_time,How long does a stolen vehicle investigation take?,"It varies based on evidence, police resources, and jurisdiction."
check_traffic_fine,How can I check my traffic fine?,You can check your traffic fine on the official traffic police website or through online portals like Parivahan.
pay_traffic_fine,How can I pay my traffic fine online?,You can pay your traffic fine online via the e-challan website or mobile apps like Parivahan.
offline_fine_payment,Can I pay my traffic fine offline?,"Yes, you can pay your fine at the nearest traffic police station or designated bank branches."
documents_needed_fine_payment,What documents are needed to pay a traffic fine?,You need the vehicle registration number and challan details to make the payment.
wrong_challan_received,What should I do if I receive a wrong traffic challan?,You can contest the challan by visiting the traffic police department or filing an appeal online.
fine_for_red_light_jump,What is the fine for jumping a red light?,"The fine varies by state but generally ranges between ₹500 to ₹5,000."
fine_for_drunk_driving,What is the penalty for drunk driving?,"Drunk driving is punishable with a fine of ₹10,000 and/or imprisonment."
fine_for_without_license,What is the fine for driving without a license?,"Driving without a valid license can result in a fine of ₹5,000."
speed_limit_violation_fine,What is the penalty for overspeeding?,"The fine for overspeeding varies from ₹1,000 to ₹4,000 depending on the vehicle type."
parking_violation_fine,What is the fine for illegal parking?,"Illegal parking fines range from ₹500 to ₹2,000 based on city and location."
helmet_rule_violation_fine,What is the fine for not wearing a helmet?,"Riding without a helmet can result in a fine of ₹1,000 and license suspension."
seat_belt_violation_fine,What is the fine for not wearing a seatbelt?,"The fine for not wearing a seatbelt is ₹1,000 as per the Motor Vehicles Act."
mobile_use_while_driving_fine,What is the penalty for using a mobile while driving?,"Using a mobile phone while driving can lead to a fine of ₹5,000."
challan_time_limit,How much time do I have to pay my traffic fine?,You typically have 60 days from the issue date to pay the challan.
challan_not_paid,What happens if I don’t pay my traffic fine?,"Failure to pay can result in increased fines, legal notices, or even license suspension."
how_to_check_pending_fines,How can I check if I have any pending fines?,You can check pending fines on the traffic police or Parivahan website by entering your vehicle number.
fine_for_no_rc,What is the fine for not carrying an RC?,"Driving without an RC can result in a fine of ₹5,000."
fine_for_tinted_glass,Is there a fine for using tinted glass on a vehicle?,"Yes, using tinted glass beyond the permitted limit can result in a fine of ₹500 to ₹1,500."
fine_for_modified_exhaust,What is the penalty for using a modified exhaust?,"Using a modified loud exhaust can lead to a fine of ₹1,000 to ₹10,000."
fine_for_expired_insurance,What is the fine for driving without valid insurance?,"Driving without valid insurance can lead to a fine of ₹2,000 to ₹4,000."
wrong_lane_driving_fine,What is the fine for driving in the wrong lane?,"Wrong-lane driving can result in a fine of ₹1,000 to ₹5,000."
fine_for_no_puc,What is the fine for not having a Pollution Under Control (PUC) certificate?,"The fine for not having a valid PUC is ₹1,000 for first-time offenders and ₹2,000 for repeat offenses."
fine_for_honking,What is the penalty for unnecessary honking?,"Unnecessary honking can result in a fine of ₹1,000 to ₹2,000."
fine_for_wrong_u_turn,What is the fine for taking an illegal U-turn?,"Taking an illegal U-turn can lead to a fine of ₹500 to ₹1,500."
fine_for_hazardous_driving,What is the fine for reckless or dangerous driving?,"Reckless driving can result in a fine of ₹5,000 to ₹10,000 and/or imprisonment."
fine_for_overloading_vehicle,What is the fine for overloading a vehicle?,"Overloading can result in a fine of ₹2,000 to ₹20,000 depending on the excess load."
fine_for_double_parking,What is the fine for double parking?,"Double parking fines range from ₹500 to ₹2,000."
fine_for_vehicle_without_number_plate,Is there a fine for driving without a number plate?,"Yes, driving without a number plate can result in a fine of ₹5,000."
fine_for_wheelie,What is the fine for performing a wheelie on a motorcycle?,"Performing stunts or wheelies on public roads can lead to a fine of ₹5,000."
fine_for_defective_number_plate,Can I be fined for having a fancy number plate?,"Yes, non-standard number plates can result in a fine of ₹1,000."
fine_for_bus_lane_violation,What is the penalty for driving in a dedicated bus lane?,"Driving in a bus lane can lead to a fine of ₹2,000."
fine_for_fog_lights,Can I be fined for using high beam or fog lights improperly?,"Yes, improper use of high beams or fog lights can lead to a fine of ₹500."
fine_for_expired_driving_license,What happens if I drive with an expired license?,"Driving with an expired license can result in a fine of ₹5,000."
challan_status_check,How can I check the status of my challan?,You can check the status on the official e-challan website or Parivahan portal.
report_missing_item,How can I report a missing item?,You can report a missing item by filing a complaint at the nearest police station or online.
file_fir_missing_item,Can I file an FIR for a missing item?,"Yes, you can file an FIR for valuable missing items such as mobile phones, wallets, or important documents."
lost_mobile_phone,What should I do if I lose my mobile phone?,"You should report it to the police, block your SIM, and track it using mobile tracking apps."
missing_wallet_report,How do I report a lost wallet?,You can file a missing complaint at the police station and inform your bank to block any cards.
find_lost_item,How can I find my lost item?,"Check lost and found departments, file a police report, and use online tracking if applicable."
lost_credit_debit_card,What should I do if I lose my debit or credit card?,Immediately report it to your bank and block the card to prevent unauthorized transactions.
lost_passport,How do I report a lost passport?,File a police report and apply for a duplicate passport with the passport office.
stolen_laptop,What should I do if my laptop is stolen?,"File an FIR, track it using device tracking services, and inform your company if it's a work laptop."
lost_vehicle_number_plate,Can I file a complaint for a missing vehicle number plate?,"Yes, report it to the police and apply for a duplicate plate at the RTO."
report_missing_id_card,How can I report a lost ID card?,You can report it to the police and apply for a duplicate ID at the issuing authority.
missing_items_police_verification,Do I need police verification for lost items?,"Yes, some institutions require a police verification letter for issuing duplicates."
lost_item_airport,What should I do if I lose something at an airport?,Check with the airport's lost and found department or file a report at the airport police station.
missing_important_documents,How do I report missing legal documents?,You need to file a police complaint and apply for reissuance from the relevant authority.
lost_key,Can I report a lost key to the police?,"Yes, you can report it, especially if it involves a vehicle or house key for security reasons."
missing_pet,How do I report a missing pet?,You can file a missing pet report at your local police station and distribute flyers in the neighborhood.
lost_jewelry,What should I do if I lose my jewelry?,File a police complaint and check with lost and found services in your area.
lost_childs_belongings,How can I report missing belongings of a child?,"You can report it to the school, police, or any place where the item was last seen."
missing_personal_belongings_public_transport,What should I do if I lose an item in public transport?,Contact the transport authority’s lost and found department and file a police complaint if needed.
report_missing_vehicle_documents,Can I report lost vehicle documents?,"Yes, you should file a police complaint and apply for duplicate documents at the RTO."
find_lost_smartwatch,How can I find my lost smartwatch?,Use the smartwatch tracking feature and report it to the police if needed.
lost_college_documents,How do I report lost college documents?,Report it to the college administration and file a police complaint for duplicate copies.
lost_medical_prescriptions,Can I report a missing medical prescription?,"Yes, you can report it to your doctor or pharmacist and request a duplicate prescription."
lost_home_loan_papers,What should I do if I lose my home loan papers?,Report to the bank and file a police complaint before applying for duplicate papers.
lost_land_registry,How do I report a lost land registry document?,File a police report and apply for a duplicate at the land records office.
missing_luggage_train,What should I do if my luggage is lost on a train?,Contact the railway lost and found department and file a police report.
lost_item_in_hotel,Can I report a lost item in a hotel?,"Yes, inform the hotel staff and check their lost and found department."
misplaced_cheque_book,What should I do if I lose my cheque book?,Inform your bank immediately and request a new cheque book.
lost_insurance_papers,Can I report missing insurance papers?,"Yes, file a police complaint and request a duplicate from your insurance company."
missing_voter_id,What should I do if I lose my Voter ID?,Report it to the police and apply for a duplicate via the Election Commission website.
lost_driving_license,How do I report a missing driving license?,File a police complaint and apply for a duplicate at the RTO.
lost_pan_card,Can I report a lost PAN card?,"Yes, you can report it and apply for a duplicate PAN card from the Income Tax Department."
lost_birth_certificate,What should I do if I lose my birth certificate?,File a police report and request a duplicate from the municipal office.
lost_death_certificate,Can I get a duplicate death certificate if the original is lost?,"Yes, you need to apply for a duplicate at the local municipal office."
missing_laptop_in_taxi,What should I do if I forget my laptop in a taxi?,Contact the taxi service provider and file a police complaint if needed.
lost_wedding_ring,Can I file a report for a lost wedding ring?,"Yes, you can file a missing item complaint at the police station."
lost_spectacles,What should I do if I lose my spectacles?,Check lost and found services in the area where you last used them.
lost_book_library,How can I report a lost library book?,Inform the library and pay the necessary fine or replacement fee.
lost_hearing_aid,Can I report a lost hearing aid?,"Yes, report it to the police and check lost and found services."
PCC_Application,How can I apply for a Police Clearance Certificate?,You can apply for a Police Clearance Certificate (PCC) through your local police station or online via the official government website.
PCC_Application,Where can I get a police clearance certificate?,You can obtain a Police Clearance Certificate from your local police station or apply online via the government portal.
PCC_Application,Can I apply for a PCC online?,"Yes, many regions offer an online application for PCC through their official police or government websites."
PCC_Application,What is the process for obtaining a PCC?,You need to submit an application form along with required documents at your local police station or online portal. The authorities will verify your details before issuing the certificate.
PCC_Application,Do I need to visit the police station for a PCC?,"In some cases, you may need to visit the police station for verification. However, many authorities now offer online processing."
PCC_Documents,What documents are required for a PCC?,"Typically, you need identity proof (passport, Aadhar card), address proof, and recent photographs. Check with your local police department for specific requirements."
PCC_Documents,Is a passport mandatory for PCC?,"In many cases, a passport is required, especially for international PCCs. However, some local PCCs may accept other forms of identity proof."
PCC_Documents,Can I apply for PCC without an address proof?,"Address proof is generally required, but you may check with your local authorities for alternative verification methods."
PCC_Documents,Do I need fingerprints for a PCC?,"Some countries or regions may require fingerprint verification, but it depends on local laws and regulations."
PCC_Documents,Can I use my driving license as proof for PCC?,"A driving license may be accepted as identity proof, but it is best to confirm with the issuing authority."
PCC_Fees,What is the fee for a PCC?,The fee for obtaining a PCC varies by location. You can check with your local police department or government website for details.
PCC_Fees,Is there a fee waiver for PCC?,"In some cases, PCC fees may be waived for specific individuals, such as students or government employees. Check with local authorities."
PCC_Fees,How do I pay for my PCC application?,"You can usually pay online, via bank transfer, or directly at the police station. The payment methods depend on the issuing authority."
PCC_Fees,Do I need to pay separately for PCC verification?,"No, the verification process is generally included in the application fee."
PCC_Fees,Can I get a refund if my PCC is rejected?,Most authorities do not offer refunds for rejected PCC applications.
PCC_ProcessingTime,How long does it take to get a PCC?,The processing time varies but generally takes 7 to 15 days. Urgent requests may be processed faster.
PCC_ProcessingTime,Can I get a PCC in one day?,"Some authorities provide express PCC services, but it depends on your location."
PCC_ProcessingTime,Why is my PCC taking so long?,"Delays may occur due to background checks, pending verifications, or high application volumes."
PCC_ProcessingTime,How can I check my PCC status?,You can check your PCC status online if your application was submitted through an e-portal or by contacting the police station.
Tenant_Verification_Process,How can I verify a tenant?,You can verify a tenant by submitting their details to the local police station or using an online tenant verification portal.
Tenant_Verification_Process,Is tenant verification mandatory?,"In many cities, tenant verification is mandatory for security reasons. Check local regulations for confirmation."
Tenant_Verification_Process,Where can I apply for tenant verification?,You can apply at your local police station or through an official government online portal.
Tenant_Verification_Process,Can I do tenant verification online?,"Yes, many police departments provide online tenant verification services."
Tenant_Verification_Process,What is the process for tenant verification?,"You need to submit the tenant's ID proof, address proof, and a verification form at the local police station or online."
Tenant_Documents,What documents are required for tenant verification?,"Commonly required documents include the tenant's ID proof, address proof, and a recent photograph."
Tenant_Documents,Do I need a tenant's Aadhaar card for verification?,"Yes, an Aadhaar card is commonly accepted for tenant verification."
Tenant_Documents,Can I verify a tenant with a passport?,"Yes, a passport can be used as a valid identity proof for tenant verification."
Tenant_Documents,Is police clearance needed for tenant verification?,"Not always, but in some cases, a police clearance certificate may be required."
Tenant_Documents,Can I verify a tenant using a driving license?,"Yes, a driving license can be used as identity proof for tenant verification."
Tenant_Fees,Is there a fee for tenant verification?,"Some police departments charge a fee, while others offer it for free. Check with your local police station."
Tenant_Fees,How much does tenant verification cost?,The cost varies by location. Contact your local police station for fee details.
Tenant_Fees,Can I get a refund if my tenant verification request is rejected?,"Generally, fees for tenant verification are non-refundable."
Tenant_Fees,"Who should pay for tenant verification, landlord or tenant?","It depends on the rental agreement, but usually, the landlord is responsible."
Tenant_Fees,Is tenant verification free in some cities?,"Yes, some local police departments provide free tenant verification services."
Tenant_ProcessingTime,How long does tenant verification take?,"Processing times vary, but it typically takes 3-7 days."
Tenant_ProcessingTime,Can I get tenant verification done in one day?,Some police departments offer expedited services for a faster process.
Tenant_ProcessingTime,Why is my tenant verification taking so long?,"Delays may be due to background checks, pending documents, or high application volume."
Tenant_ProcessingTime,How can I check the status of my tenant verification?,You can check the status online or by visiting the police station where you applied.
Tenant_ProcessingTime,Can I track my tenant verification application?,"Yes, many online portals provide tracking services."
ATM_Fraud_Reporting,How can I report an ATM fraud?,Report ATM fraud to your bank and file a complaint on the Cyber Crime Portal (www.cybercrime.gov.in).
Unauthorized_Withdrawal,What should I do if money is deducted from my account without my knowledge?,Immediately contact your bank and report the transaction as fraudulent.
ATM_Card_Skimming,What is ATM card skimming and how does it happen?,ATM skimming involves devices that steal card details. Always inspect ATMs before use.
Lost_ATM_Card,I lost my ATM card. What should I do?,Block your card immediately by calling your bank and request a replacement.
ATM_Pin_Sharing,Can I share my ATM PIN with someone I trust?,"Never share your ATM PIN with anyone, as it can lead to fraud and unauthorized transactions."
ATM_Machine_Error,What should I do if the ATM did not dispense cash but the amount was deducted?,Report the issue to your bank. The amount is usually refunded within 7 working days.
ATM_Security_Check,How do I check if an ATM is safe to use?,"Look for loose parts, hidden cameras, or unauthorized devices before using the ATM."
ATM_Transaction_Limit,Is there a limit on ATM transactions per day?,"Yes, banks impose daily withdrawal limits. Check with your bank for details."
ATM_CCTV_Footage,Can I request CCTV footage of an ATM fraud incident?,"Yes, you can request CCTV footage through your bank or law enforcement."
ATM_Refund_Process,How long does it take to get a refund for a fraudulent ATM transaction?,"Banks typically process refunds within 7-30 days, depending on the investigation."
Bank_Helpline,Which helpline number should I call for ATM fraud?,Call your bank's customer service or the RBI ombudsman for complaints.
ATM_Fraud_Punishment,What is the punishment for ATM fraud in India?,"Under IT Act Section 66, ATM fraud is punishable with up to 3 years imprisonment and a fine."
Bank_Liability,Is my bank responsible for ATM fraud?,"If fraud is reported within 3 days, the bank is liable to refund the amount as per RBI guidelines."
ATM_Pin_Change,How often should I change my ATM PIN?,It is advisable to change your ATM PIN every few months to enhance security.
Fake_ATM_Calls,What should I do if someone calls me pretending to be a bank official?,Do not share your details. Banks never ask for sensitive information over calls.
ATM_Cash_Trap,What is an ATM cash trapping scam?,Fraudsters use a device to block cash from dispensing and later retrieve it. Report such incidents immediately.
ATM_Police_Complaint,Can I file a police complaint for ATM fraud?,"Yes, you can report ATM fraud at the nearest cybercrime police station."
ATM_Machine_Tampering,What should I do if I notice an ATM machine has been tampered with?,Avoid using it and immediately report it to the bank or local authorities.
